knap_id,method,item_count,price,elapsed_ms
9117,Recursive,15,1817,2
9117,BranchAndBound,15,1817,0.080814
9117,Dynamic,15,1817,0.147601
9117,FPTAS25,15,1744,0.142189
9117,FPTAS50,15,1782,0.143447
9117,FPTAS75,15,1790,0.143068
9118,Recursive,15,1921,2
9118,BranchAndBound,15,1921,0.092906
9118,Dynamic,15,1921,0.142135
9118,FPTAS25,15,1855,0.137883
9118,FPTAS50,15,1886,0.137748
9118,FPTAS75,15,1904,0.139361
9119,Recursive,15,1769,2
9119,BranchAndBound,15,1769,0.039712
9119,Dynamic,15,1769,0.144472
9119,FPTAS25,15,1690,0.142835
9119,FPTAS50,15,1715,0.14449
9119,FPTAS75,15,1735,0.143939
9120,Recursive,15,1787,2
9120,BranchAndBound,15,1787,0.331692
9120,Dynamic,15,1787,0.134848
9120,FPTAS25,15,1733,0.127175
9120,FPTAS50,15,1754,0.127373
9120,FPTAS75,15,1766,0.126255
9121,Recursive,15,2021,2
9121,BranchAndBound,15,2021,0.046819
9121,Dynamic,15,2021,0.148231
9121,FPTAS25,15,1952,0.144549
9121,FPTAS50,15,1960,0.145327
